target,word2vec_score,bert_score,combined_score,binary_gold,graded_gold
Abgesang,0.6913324354726258,0.021979343871354584,0.015195033328673896,1,0.5785479359
Ackergerät,0.40964103810594,0.004794293857881549,0.0019639395129275295,0,0.0
Armenhaus,0.6065486674161706,0.022146098661288027,0.013432686631471293,0,0.5196696949
Ausnahmegesetz,0.34130375243494326,0.005928733015087118,0.002023498825234168,0,0.0931384151
Dynamik,0.4780508797417832,0.02127732655576542,0.010171644678536864,1,0.5788446287
Einreichung,0.3349094328262564,0.011316951856979895,0.0037901539277431858,0,0.0
Eintagsfliege,0.8225702922505115,0.04406769473143535,0.0362487765340431,0,0.6600603105
Engpaß,0.9055990725850895,0.03350880172964743,0.03034553976980636,1,0.8199567418
Entscheidung,0.4046565943465781,0.008371664282425306,0.0033876491575391137,0,0.1416813614
Festspiel,0.49513921603705846,0.012391078978609693,0.0061353091313220785,0,0.1003636619
Frechheit,0.3070334691976965,0.0056443469772006205,0.001733003433765438,0,0.070838721
Fuß,0.4982852012905922,0.05398828741158779,0.026901564660217363,0,0.5646330712
Gesichtsausdruck,0.3701150910732338,0.004790667082862354,0.0017730981836751435,0,0.0773181227
Knotenpunkt,0.6182523122455953,0.0386455246189229,0.02389268495359316,1,0.6476267431
Kubikmeter,0.3715515967384976,0.020521536709810162,0.00762480973205766,0,0.0
Lyzeum,0.47929241480654317,0.010918685269392547,0.0052332430292797855,0,0.1263811851
Manschette,0.4231651704930489,0.005276101024478397,0.0022326621895619506,1,0.3558015707
Mißklang,0.4669317041585106,0.01771791865465211,0.008273057951558575,1,0.3797233207
Mulatte,0.638305064506124,0.008953900765473533,0.005715320205687016,0,0.0
Naturschönheit,0.4798226562134421,0.009893032366595111,0.004746901068145222,0,0.071560565
Ohrwurm,0.9520925420249456,0.04743299410491375,0.045160599933201595,1,0.8324505396
Pachtzins,0.282450098058145,0.005903191600584057,0.001667357046440985,0,0.0
Rezeption,0.6220756854897205,0.012406229732893626,0.007717613865432754,1,0.4649888284
Schmiere,0.585474484999178,0.01810230306858207,0.010598436566377127,1,0.4376712892
Seminar,0.5326107205251926,0.024869126236272243,0.013245563243532932,0,0.0644862175
Sensation,0.7126739499512615,0.015708824620000006,0.01119527009102703,1,0.4061442791
Spielball,0.35184816872227576,0.02582283803022989,0.009085718272148324,0,0.1032900719
Tier,0.4024209336332246,0.008510061240065703,0.0034246267895031574,0,0.0734663698
Titel,0.5869422096283293,0.015986127310823273,0.009382932887214394,0,0.3930452262
Tragfähigkeit,0.31727039464083806,0.018760344241792626,0.005952101821191521,0,0.1146939033
Truppenteil,0.4963201765317251,0.011059347581107715,0.005488977343781088,0,0.0
Unentschlossenheit,0.29532913795442417,0.0042535641013286,0.0012562014192792604,0,0.0
abbauen,0.6661718873802747,0.025656660914288643,0.017091746225147388,1,0.7401151347
abdecken,0.6478133634226761,0.017334414312424995,0.011229465238694213,1,0.6068844591
abgebrüht,0.6483451760250909,0.06491682588083736,0.04208851090270167,0,0.8326453924
artikulieren,0.6836099541066214,0.02182496134483214,0.014919760823319484,1,0.6157433577
aufrechterhalten,0.4930834461175081,0.010464380187570566,0.00515981264437107,0,0.0361091146
ausspannen,0.6748364309084733,0.01808114070979927,0.01220181246335484,1,0.7066899149
beimischen,0.3994034877973054,0.008857047828559783,0.0035375357943143275,0,0.3073585686
packen,0.4380779652379887,0.007176768910655107,0.003143984321363046,1,0.4622525393
verbauen,0.5635932075010371,0.02106584861140015,0.01187256918763028,1,0.5781250765
vergönnen,0.3860319636481181,0.015597920660897935,0.006021295941553982,0,0.0711968986
voranstellen,0.4979089625557822,0.010750848134324253,0.005352943641156156,0,0.1241915484
vorliegen,0.4178050254652186,0.011344089349030528,0.004739617539351415,0,0.1902660258
vorweisen,0.5245463128181016,0.016123939537374232,0.00845775303243166,0,0.1268370977
weitgreifend,0.3167715918229751,0.00687742412383574,0.0021785725873491773,0,0.0
zersetzen,0.48405644145839066,0.02275885000539246,0.01101656794529555,0,0.5058797106
überspannen,0.4880711984782966,0.014792910838575257,0.00721999372196601,1,0.2520655248
