target,word2vec_score,bert_score,combined_score,binary_gold,graded_gold
attack_nn,0.37573219184673246,0.020310155297560306,0.007631179166699859,1,0.1439699927
bag_nn,0.32767925629406247,0.011241062036830618,0.003683462848184076,0,0.1003636619
ball_nn,0.5499178517603435,0.009631494517815642,0.005296530774478703,0,0.4093665525
bit_nn,0.42383914640376785,0.05523077736359172,0.023408965533001258,1,0.3065766263
chairman_nn,0.4419466822293533,0.022767585065435747,0.010062058682043903,0,0.0
circle_vb,0.38510973292411277,0.025930991445888396,0.009986277190183534,1,0.1710871199
contemplation_nn,0.38319984112025995,0.008839670300061497,0.0033873602545390464,0,0.070838721
donkey_nn,0.405958014634233,0.004863115359003745,0.001974220656078405,0,0.1601038896
edge_nn,0.37273248805602466,0.0067782324665253135,0.002526467451870105,1,0.2609655868
face_nn,0.26912871609691746,0.013886604604349206,0.0037372840681140444,0,0.137791275
fiction_nn,0.28901946651935817,0.014706328355884146,0.004250415175876146,0,0.0207232682
gas_nn,0.454503259993403,0.017687828301523933,0.008039175625246205,0,0.1595695865
graft_nn,0.4921725101034632,0.04631378823143362,0.022794373406264917,1,0.5539755971
head_nn,0.2912566877939776,0.01281754402280233,0.003733195417734902,1,0.2952561247
land_nn,0.37413081548754434,0.01458292981630116,0.005455923424370378,1,0.2234476353
lane_nn,0.4435661537960084,0.014089114831157823,0.006249454476046973,0,0.1037200629
lass_nn,0.3953569272589931,0.007336285326423941,0.0029004512241502084,1,0.2125896937
multitude_nn,0.40468524923139637,0.01298061587323085,0.005253063769835446,0,0.1003636619
ounce_nn,0.21425056797534003,0.02304456060889304,0.004937310199197482,0,0.2848990681
part_nn,0.3577247447077204,0.015966368937183617,0.005711565251963287,0,0.161270809
pin_vb,0.35981817968692575,0.01245597989782754,0.004481888013053245,0,0.2072118595
plane_nn,0.7744833159393079,0.10862181207410504,0.08412578119848922,1,0.8823475834
player_nn,0.4708948210117656,0.019176594616664988,0.009030159089629647,1,0.2736674651
prop_nn,0.6267302237162333,0.056064680027350544,0.035137429456120445,1,0.624759971
quilt_nn,0.38691343354416197,0.017870288383417088,0.006914254636852257,0,0.1231453661
rag_nn,0.3083736552391316,0.008448048621976012,0.002605155633196652,1,0.2765152931
record_nn,0.5831473320112711,0.037663268731245925,0.021963234675449594,1,0.4273504707
relationship_nn,0.3719781596226329,0.01926122342312908,0.007164754441015906,0,0.0562177896
risk_nn,0.4294176485330823,0.026429478861788258,0.011349284664783918,0,0.0
savage_nn,0.4222465958077378,0.008718343956449992,0.0036812910566919738,0,0.0968689424
stab_nn,0.4054093694007127,0.017131959857765056,0.0069454570425348545,1,0.4005896829
stroke_vb,0.3032831323375864,0.04231863624615584,0.012834528556989062,0,0.1762311532
thump_nn,0.39319489891813975,0.015950976158753738,0.006271842458386833,1,0.1429915711
tip_vb,0.48790400855720095,0.045496724663450894,0.022198034339520962,1,0.6788987615
tree_nn,0.2823751445912531,0.005746376070315584,0.00162263377373108,0,0.070838721
twist_nn,0.5137608361265485,0.017408505093737703,0.008943808132671961,0,0.3984926634
word_nn,0.28466938552852694,0.005832424719997786,0.0016603127611831607,0,0.1793071623
